filename, language, Properties, JavaScript, Go, HTML, YAML, Markdown, JSON, SQL, Vue, SCSS, XML, comment, blank, total
/home/sensetime/go/src/github.com/somewhere/middleware/common.go, Go, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 38
/home/sensetime/go/src/github.com/somewhere/middleware/cors.go, Go, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 46
/home/sensetime/go/src/github.com/somewhere/middleware/gin_jwt.go, Go, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 23, 17, 132
/home/sensetime/go/src/github.com/somewhere/model/auth.go, Go, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 90
/home/sensetime/go/src/github.com/somewhere/model/products.go, Go, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
/home/sensetime/go/src/github.com/somewhere/model/recommend.go, Go, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
/home/sensetime/go/src/github.com/somewhere/model/records.go, Go, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
/home/sensetime/go/src/github.com/somewhere/model/stores.go, Go, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 74
/home/sensetime/go/src/github.com/somewhere/model/users.go, Go, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
/home/sensetime/go/src/github.com/somewhere/msg/auth.go, Go, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
/home/sensetime/go/src/github.com/somewhere/msg/common.go, Go, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
/home/sensetime/go/src/github.com/somewhere/msg/products.go, Go, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 53
/home/sensetime/go/src/github.com/somewhere/msg/recommend.go, Go, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
/home/sensetime/go/src/github.com/somewhere/msg/records.go, Go, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
/home/sensetime/go/src/github.com/somewhere/msg/stores.go, Go, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
/home/sensetime/go/src/github.com/somewhere/msg/users.go, Go, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
/home/sensetime/go/src/github.com/somewhere/service/auth.go, Go, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
/home/sensetime/go/src/github.com/somewhere/service/common.go, Go, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
/home/sensetime/go/src/github.com/somewhere/service/products.go, Go, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
/home/sensetime/go/src/github.com/somewhere/service/recommend.go, Go, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
/home/sensetime/go/src/github.com/somewhere/service/records.go, Go, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
/home/sensetime/go/src/github.com/somewhere/service/stores.go, Go, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
/home/sensetime/go/src/github.com/somewhere/service/users.go, Go, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 96
/home/sensetime/go/src/github.com/somewhere/templates/index.html, HTML, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
/home/sensetime/go/src/github.com/somewhere/templates/index.js, JavaScript, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
/home/sensetime/go/src/github.com/somewhere/vue-admin/.editorconfig, Properties, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
/home/sensetime/go/src/github.com/somewhere/vue-admin/.eslintrc.js, JavaScript, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 199
/home/sensetime/go/src/github.com/somewhere/vue-admin/.travis.yml, YAML, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
/home/sensetime/go/src/github.com/somewhere/vue-admin/README.md, Markdown, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 24, 66
/home/sensetime/go/src/github.com/somewhere/vue-admin/babel.config.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
/home/sensetime/go/src/github.com/somewhere/vue-admin/jest.config.js, JavaScript, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 25
/home/sensetime/go/src/github.com/somewhere/vue-admin/package.json, JSON, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 1, 65
/home/sensetime/go/src/github.com/somewhere/vue-admin/postcss.config.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/App.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/api/table.js, JavaScript, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/api/user.js, JavaScript, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/components/Breadcrumb/index.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 2, 7, 79
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/components/Hamburger/index.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/components/SvgIcon/index.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 5, 63
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/index.js, JavaScript, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/dashboard.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/example.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/eye-open.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/eye.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/form.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/link.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/nested.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/password.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/pdf.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/qq.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/skill.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/table.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/tree.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svg/user.svg, XML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/icons/svgo.yml, YAML, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 13, 5, 23
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/layout/components/AppMain.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 2, 4, 41
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/layout/components/Navbar.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 18, 137
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/layout/components/Sidebar/FixiOSBug.js, JavaScript, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/layout/components/Sidebar/Item.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 30
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/layout/components/Sidebar/Link.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/layout/components/Sidebar/Logo.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 9, 83
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/layout/components/Sidebar/SidebarItem.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 6, 7, 96
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/layout/components/Sidebar/index.vue, Vue, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 4, 3, 58
/home/sensetime/go/src/github.com/somewhere/vue-admin/src/layout/components/index.js, JavaScript, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
